date,customer_code,policy_id,sales_mode,final_premium_amt(INR)
01-11-2022,SUNX74N,POL4331HEL,Offline-Agent,9525
01-11-2022,SUNDTO,POL4331HEL,Offline-Direct,7500
01-11-2022,SUNZKZE,POL4331HEL,Offline-Agent,7500
01-11-2022,SUNYAL9,POL4331HEL,Offline-Direct,8850
01-11-2022,SUN0UJR,POL4331HEL,Offline-Agent,8175
01-11-2022,SUNAKCV,POL4331HEL,Offline-Agent,7875
01-11-2022,SUNW9GL,POL4331HEL,Offline-Agent,8925
02-11-2022,SUNN0,POL4331HEL,Offline-Agent,9975
02-11-2022,SUNZLHI,POL4331HEL,Offline-Agent,9450
02-11-2022,SUNS6F,POL4331HEL,Offline-Agent,8400
02-11-2022,SUN2BI4,POL4331HEL,Offline-Agent,9525
02-11-2022,SUNAJWO,POL4331HEL,Online-App,9450
02-11-2022,SUN03XB,POL4331HEL,Online-App,7950
02-11-2022,SUN2VE,POL4331HEL,Offline-Direct,7875
02-11-2022,SUNS0,POL4331HEL,Offline-Agent,9525
02-11-2022,SUNHV,POL4331HEL,Online-App,8175
03-11-2022,SUNET8,POL4331HEL,Offline-Agent,7500
03-11-2022,SUNI6X,POL4331HEL,Offline-Agent,9600
03-11-2022,SUNYONA,POL4331HEL,Offline-Agent,9450
03-11-2022,SUNT9N9,POL4331HEL,Offline-Direct,7500
03-11-2022,SUNJMI,POL4331HEL,Offline-Direct,8925
03-11-2022,SUNFF8Q,POL4331HEL,Offline-Agent,9300
03-11-2022,SUNOE7I,POL4331HEL,Offline-Agent,7500
03-11-2022,SUN7SX,POL4331HEL,Online-App,8625
03-11-2022,SUN75VI,POL4331HEL,Offline-Agent,8550
04-11-2022,SUNSU1O,POL4331HEL,Offline-Agent,7800
04-11-2022,SUNIFYJ,POL4331HEL,Offline-Direct,8550
04-11-2022,SUNZ4I,POL4331HEL,Offline-Direct,8175
04-11-2022,SUNI1I9,POL4331HEL,Offline-Direct,9300
04-11-2022,SUNQ7FT,POL4331HEL,Offline-Agent,8325
04-11-2022,SUNNASP,POL4331HEL,Offline-Direct,8325
04-11-2022,SUNGG8,POL4331HEL,Offline-Direct,9000
04-11-2022,SUN73G,POL4331HEL,Offline-Direct,10200
05-11-2022,SUNPPXP,POL4331HEL,Offline-Agent,8550
05-11-2022,SUN3R5F,POL4331HEL,Online-App,11850
05-11-2022,SUNL0G,POL4331HEL,Offline-Direct,8775
05-11-2022,SUNS0IB,POL4331HEL,Offline-Agent,7500
05-11-2022,SUNNN9Y,POL4331HEL,Offline-Agent,8550
05-11-2022,SUNZFD,POL4331HEL,Offline-Direct,8625
05-11-2022,SUNE3W,POL4331HEL,Offline-Direct,7950
05-11-2022,SUN44S0,POL4331HEL,Offline-Agent,7875
05-11-2022,SUNCSPG,POL4331HEL,Online-App,8550
05-11-2022,SUN15VR,POL4331HEL,Offline-Agent,7875
05-11-2022,SUNMHY,POL4331HEL,Offline-Agent,9075
05-11-2022,SUN9LZ,POL4331HEL,Offline-Direct,10575
05-11-2022,SUNIU91,POL4331HEL,Offline-Agent,7875
05-11-2022,SUNVHX,POL4331HEL,Offline-Agent,7875
05-11-2022,SUNYQA,POL4331HEL,Offline-Agent,7500
05-11-2022,SUNUD,POL4331HEL,Offline-Agent,9375
05-11-2022,SUNV5TY,POL4331HEL,Offline-Direct,9300
05-11-2022,SUNPMH5,POL4331HEL,Online-App,8925
05-11-2022,SUN5HII,POL4331HEL,Offline-Agent,8325
05-11-2022,SUNS4LB,POL4331HEL,Offline-Direct,7950
05-11-2022,SUNUIP,POL4331HEL,Offline-Agent,8700
05-11-2022,SUNCXPB,POL4331HEL,Offline-Agent,9000
05-11-2022,SUNITV,POL4331HEL,Offline-Agent,9900
05-11-2022,SUN113,POL4331HEL,Offline-Agent,7500
05-11-2022,SUN0EZ,POL4331HEL,Offline-Agent,7950
05-11-2022,SUNMJFU,POL4331HEL,Offline-Agent,7950
05-11-2022,SUNTXZR,POL4331HEL,Offline-Agent,7875
05-11-2022,SUNQ7A,POL4331HEL,Offline-Direct,8700
05-11-2022,SUNEEO4,POL4331HEL,Offline-Agent,7875
05-11-2022,SUNQN5I,POL4331HEL,Offline-Agent,7500
05-11-2022,SUNTH8H,POL4331HEL,Offline-Agent,7950
05-11-2022,SUNHG89,POL4331HEL,Offline-Agent,8250
05-11-2022,SUNN3X6,POL4331HEL,Offline-Agent,8625
05-11-2022,SUN45XD,POL4331HEL,Offline-Agent,9600
05-11-2022,SUN7SI0,POL4331HEL,Offline-Direct,7500
06-11-2022,SUNTZ3,POL4331HEL,Offline-Agent,11775
06-11-2022,SUNYUF8,POL4331HEL,Offline-Direct,7800
06-11-2022,SUNYWQU,POL4331HEL,Offline-Agent,7500
06-11-2022,SUN3YB,POL4331HEL,Offline-Agent,10275
06-11-2022,SUNPSN,POL4331HEL,Online-Website,7500
06-11-2022,SUN67J,POL4331HEL,Offline-Agent,11925
06-11-2022,SUNSE0,POL4331HEL,Offline-Direct,8400
06-11-2022,SUNVC,POL4331HEL,Offline-Agent,9750
06-11-2022,SUN65U,POL4331HEL,Offline-Agent,7875
06-11-2022,SUN8AW,POL4331HEL,Online-App,8325
06-11-2022,SUNZ9LJ,POL4331HEL,Offline-Agent,8400
06-11-2022,SUN8KM,POL4331HEL,Offline-Direct,9150
06-11-2022,SUNZON,POL4331HEL,Offline-Agent,7500
06-11-2022,SUNVCQ,POL4331HEL,Offline-Direct,7950
06-11-2022,SUNIGQL,POL4331HEL,Offline-Direct,9675
06-11-2022,SUNCKP,POL4331HEL,Offline-Agent,7500
06-11-2022,SUNSAF,POL4331HEL,Offline-Direct,9675
06-11-2022,SUNR64,POL4331HEL,Offline-Direct,9300
06-11-2022,SUNK707,POL4331HEL,Offline-Agent,9075
06-11-2022,SUNJG9,POL4331HEL,Offline-Direct,7950
06-11-2022,SUNF2Z,POL4331HEL,Offline-Direct,8925
06-11-2022,SUNV8PR,POL4331HEL,Offline-Agent,7875
06-11-2022,SUNYA6,POL4331HEL,Offline-Agent,9300
06-11-2022,SUNWQQF,POL4331HEL,Offline-Direct,7875
06-11-2022,SUNE468,POL4331HEL,Offline-Agent,7875
06-11-2022,SUN9HWD,POL4331HEL,Offline-Direct,9375
06-11-2022,SUNLDH,POL4331HEL,Offline-Agent,7500
06-11-2022,SUN8ANR,POL4331HEL,Offline-Agent,9975
06-11-2022,SUNQ0T,POL4331HEL,Offline-Agent,7500
07-11-2022,SUNYG,POL4331HEL,Offline-Agent,9225
07-11-2022,SUNG47,POL4331HEL,Offline-Agent,9675
07-11-2022,SUN8E4Q,POL4331HEL,Offline-Direct,8250
07-11-2022,SUNUUJ,POL4331HEL,Offline-Direct,10875
07-11-2022,SUNJO5,POL4331HEL,Offline-Agent,7875
07-11-2022,SUN5KN6,POL4331HEL,Offline-Agent,10800
07-11-2022,SUNUEG,POL4331HEL,Offline-Direct,9300
07-11-2022,SUNH2W,POL4331HEL,Offline-Agent,9075
07-11-2022,SUN7CS,POL4331HEL,Offline-Agent,9225
07-11-2022,SUNJ5W5,POL4331HEL,Offline-Agent,11700
08-11-2022,SUNAAM,POL4331HEL,Offline-Agent,7950
08-11-2022,SUNZ6ZL,POL4331HEL,Offline-Agent,9825
08-11-2022,SUNCS0,POL4331HEL,Offline-Direct,7500
08-11-2022,SUNV18,POL4331HEL,Offline-Direct,8925
08-11-2022,SUN68L,POL4331HEL,Offline-Agent,8850
08-11-2022,SUNMGK,POL4331HEL,Offline-Agent,10050
08-11-2022,SUNZIR,POL4331HEL,Offline-Agent,8925
08-11-2022,SUN17,POL4331HEL,Offline-Agent,8250
08-11-2022,SUN6KI,POL4331HEL,Offline-Agent,8700
08-11-2022,SUN78R,POL4331HEL,Offline-Agent,10125
08-11-2022,SUNQQ60,POL4331HEL,Offline-Agent,9450
08-11-2022,SUNIQN,POL4331HEL,Offline-Agent,7500
08-11-2022,SUNF2P2,POL4331HEL,Offline-Agent,10575
08-11-2022,SUN8LCV,POL4331HEL,Offline-Agent,7500
09-11-2022,SUN3XXM,POL4331HEL,Offline-Agent,9225
09-11-2022,SUNO445,POL4331HEL,Offline-Agent,7500
09-11-2022,SUNCTW,POL4331HEL,Offline-Direct,8775
09-11-2022,SUNX3P,POL4331HEL,Offline-Agent,7500
09-11-2022,SUNYW0,POL4331HEL,Offline-Agent,9825
09-11-2022,SUNGON,POL4331HEL,Offline-Agent,9675
09-11-2022,SUNZVFW,POL4331HEL,Offline-Agent,8250
09-11-2022,SUNRXI,POL4331HEL,Offline-Agent,7875
09-11-2022,SUNDHV7,POL4331HEL,Offline-Direct,11700
09-11-2022,SUNMLVM,POL4331HEL,Offline-Direct,7950
09-11-2022,SUNLD9Y,POL4331HEL,Offline-Direct,7500
10-11-2022,SUN01Z,POL4331HEL,Offline-Agent,7875
10-11-2022,SUNP4,POL4331HEL,Offline-Agent,9000
10-11-2022,SUNWOU,POL4331HEL,Offline-Agent,7500
10-11-2022,SUNWSHD,POL4331HEL,Offline-Agent,8250
10-11-2022,SUN7BU1,POL4331HEL,Offline-Agent,9075
10-11-2022,SUN8K8,POL4331HEL,Offline-Agent,8175
10-11-2022,SUN2MF3,POL4331HEL,Offline-Agent,7500
10-11-2022,SUNRTE0,POL4331HEL,Offline-Agent,7500
10-11-2022,SUNZUA,POL4331HEL,Online-App,9150
10-11-2022,SUNBF4J,POL4331HEL,Offline-Direct,7500
11-11-2022,SUNX9DT,POL4331HEL,Offline-Agent,7500
11-11-2022,SUNMTJV,POL4331HEL,Offline-Agent,7500
11-11-2022,SUN43E,POL4331HEL,Offline-Direct,7950
11-11-2022,SUN4Y,POL4331HEL,Offline-Agent,7500
11-11-2022,SUNPE,POL4331HEL,Offline-Agent,7875
11-11-2022,SUN634K,POL4331HEL,Online-Website,9150
11-11-2022,SUN4IMR,POL4331HEL,Offline-Direct,9900
11-11-2022,SUNKOJA,POL4331HEL,Offline-Agent,10125
11-11-2022,SUNCVLJ,POL4331HEL,Offline-Direct,7875
11-11-2022,SUN1O1K,POL4331HEL,Offline-Agent,9900
12-11-2022,SUN4B6P,POL4331HEL,Offline-Direct,9825
12-11-2022,SUN7Y4,POL4331HEL,Offline-Agent,7500
12-11-2022,SUN3L0,POL4331HEL,Online-App,7500
12-11-2022,SUNLIFL,POL4331HEL,Offline-Agent,9675
12-11-2022,SUN2ZH,POL4331HEL,Offline-Agent,8625
12-11-2022,SUNXEP,POL4331HEL,Offline-Direct,9975
12-11-2022,SUNGGSE,POL4331HEL,Offline-Agent,11625
12-11-2022,SUNRRXG,POL4331HEL,Offline-Agent,10725
12-11-2022,SUNL2G5,POL4331HEL,Offline-Direct,9975
12-11-2022,SUNIX8B,POL4331HEL,Offline-Agent,8775
12-11-2022,SUNQT9K,POL4331HEL,Offline-Agent,7500
12-11-2022,SUNEK62,POL4331HEL,Offline-Agent,9900
12-11-2022,SUNKQX8,POL4331HEL,Offline-Direct,8700
12-11-2022,SUNYY96,POL4331HEL,Offline-Agent,7800
12-11-2022,SUNUI7P,POL4331HEL,Offline-Agent,8550
12-11-2022,SUNDESV,POL4331HEL,Offline-Agent,9150
12-11-2022,SUN76C2,POL4331HEL,Offline-Agent,7875
12-11-2022,SUNAPHK,POL4331HEL,Offline-Agent,7500
12-11-2022,SUNM5PQ,POL4331HEL,Offline-Direct,9750
12-11-2022,SUN0BA,POL4331HEL,Offline-Agent,10050
12-11-2022,SUNU98X,POL4331HEL,Offline-Agent,10725
12-11-2022,SUNU562,POL4331HEL,Offline-Agent,7500
12-11-2022,SUNWOB,POL4331HEL,Offline-Direct,8400
12-11-2022,SUNQ02,POL4331HEL,Offline-Agent,7875
